folder_name,subject_code,subject_name,grade,class_code,class_room,semester,day_time,classification,credit
経営学部,T2012000,経営組織論,3年・4年,X1,自－別２０１,後期,火Ⅰ,選択,2
経営学部,T2018000,コンピュータ会計,3年・4年,X1,自－２０４,後期,金Ⅱ,選択,2
経営学部,T2020000,産業法規,3年・4年,X1,自－別２０３,後期,火Ⅲ,選択,2
経営学部,T2028000,総合講義１,2年・3年・4年,X1,自－２０２,前期,金Ⅱ,選択,2
経営学部,T2029000,総合講義２,2年・3年・4年,X1,自－２０３,前期,火Ⅳ,選択,2
経営学部,T2034000,特別講義１,2年・3年・4年,X1,自－３０８,前期,木Ⅲ・木Ⅳ,選択,2
経営学部,T2035000,特別講義２,2年・3年・4年,X1,自－３０８,後期,木Ⅲ・木Ⅳ,選択,2
経営学部,T2037000,ビジネス英語２,2年・3年・4年,11,自－２０１,後期,月Ⅳ,選択,2
経営学部,T2037000,ビジネス英語２,2年・3年・4年,21,自－２０２,後期,月Ⅳ,選択,2
経営学部,T2037000,ビジネス英語２,2年・3年・4年,31,自－２０３,後期,月Ⅳ,選択,2
経営学部,T2107000,設備管理,3年・4年,X1,自－別２０３,後期,火Ⅱ,選択,2
経営学部,T2130000,経営学概論２,1年・2年・3年・4年,X1,自－３１１,後期,金Ⅲ,選択,2
経営学部,T2152000,インターネットビジネス論,3年・4年,X1,自－別２０３,後期,木Ⅱ,選択,2
経営学部,T2158000,事例研究,4年,X1,自－２０１,後期,金Ⅰ,選択,2
経営学部,T2161000,ベンチャービジネス論,4年,X1,自－別２０３,前期,金Ⅲ,選択,2
経営学部,T2166000,経営分析論,3年・4年,X1,自－２０２,前期,火Ⅳ,選択,2
経営学部,T2168000,人的資源管理論,3年・4年,X1,自－３１１,前期,水Ⅰ,選択,2
経営学部,T2171000,インターネット技術及び演習,3年・4年,X1,自－２０４,前期,金Ⅳ・金Ⅴ,選択,3
経営学部,T2177000,知能情報処理,3年・4年,X1,自－別２０３,後期,月Ⅱ,選択,2
経営学部,T2179000,生産情報システム,3年・4年,X1,自－３１１,前期,水Ⅱ,選択,2
経営学部,T2181000,品質管理論,3年・4年,X1,自－２０４,前期,金Ⅲ,選択,2
経営学部,T2182000,流通情報システム論,3年・4年,X1,自－２０４,前期,月Ⅱ,選択,2
